Nested Sampling Global Log-Evidence           :   -0.396483662667861925E+01  +/-    0.938418790301400602E-01

Dim No.       Mean        Sigma
   1    0.176010737038220186E-03    0.315110300213003569E-04
   2    0.121018944807982939E+04    0.117263630180368637E+02
   3    0.904382505563239075E-03    0.879247388578539889E-04
   4    0.724594673789337804E+02    0.950657904591709957E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.175174680273015897E-03
   2    0.122384654974884143E+04
   3    0.845547345994128842E-03
   4    0.729784698302147632E+02

MAP Parameters
Dim No.        Parameter
   1    0.139888919006882787E-03
   2    0.119169788789579661E+04
   3    0.913495093116586010E-03
   4    0.713653797310265787E+02
