Nested Sampling Global Log-Evidence           :   -0.353742560162141917E+01  +/-    0.865910324861539349E-01

Dim No.       Mean        Sigma
   1    0.152087025289927754E-03    0.199646938747260365E-03
   2    0.120937598401136438E+04    0.115176993919166808E+02
   3    0.891324655947504734E-03    0.935064703976073227E-04
   4    0.899018844768065293E+02    0.941488535651742620E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.141004942578919803E-03
   2    0.120157017342081622E+04
   3    0.947682941111860572E-03
   4    0.903226877456317965E+02

MAP Parameters
Dim No.        Parameter
   1    0.115502917754877472E-03
   2    0.121406084597539302E+04
   3    0.874871839380906733E-03
   4    0.902949863508498396E+02
