Nested Sampling Global Log-Evidence           :   -0.394455094734725487E+01  +/-    0.925612619720146551E-01

Dim No.       Mean        Sigma
   1    0.204341501445194813E-02    0.398679535800968679E-03
   2    0.121125736850601766E+04    0.126140891492114822E+02
   3    0.891495478785693019E-03    0.966845975787190365E-04
   4    0.724071188790982632E+02    0.879804654016069443E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.205670639111458272E-02
   2    0.120227136304093597E+04
   3    0.922727971184019737E-03
   4    0.704030982148752287E+02

MAP Parameters
Dim No.        Parameter
   1    0.189677440243827015E-02
   2    0.120371104160111167E+04
   3    0.100186308901517151E-02
   4    0.725509639681310432E+02
