Nested Sampling Global Log-Evidence           :   -0.434217034651458267E+01  +/-    0.980983927404398132E-01

Dim No.       Mean        Sigma
   1    0.165434927112113037E-02    0.273839142216265516E-03
   2    0.121004377509204892E+04    0.121367683155924198E+02
   3    0.898521009721677021E-03    0.923069519326528959E-04
   4    0.500072605802736021E+02    0.972404474744631764E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.176741695351089888E-02
   2    0.121491046211243270E+04
   3    0.972300970562789369E-03
   4    0.509515273734403351E+02

MAP Parameters
Dim No.        Parameter
   1    0.108882926121487149E-02
   2    0.116525134809669225E+04
   3    0.792226960729056355E-03
   4    0.514364968548884747E+02
